Concessionária;Ano;Meta;Realizado;Dados;Instrumento de estabelecimento
EFC;2006;12.2;7.43;7.43;Resolução nº 381/2003
EFC;2007;12.2;4.39;4.39;Resolução nº 381/2003
EFC;2008;12.2;6.62;6.62;Resolução nº 2.973/2008
EFC;2009;12.2;5.5;5.5;Resolução nº 3.544/2010
EFC;2010;12.2;4.98;4.98;Resolução nº 3.544/2010
EFC;2011;12.2;4.2;4.2;Resolução nº 3.544/2010
EFC;2012;12.2;3.92;3.918026558587904;Resolução nº 3.835/2012
EFC;2013;7.07;3.48;3.4750357773549543;Resolução nº 4.144/2013
EFC;2014;6.93;4.13;4.128711362395818;Resolução nº 4.144/2013
EFC;2015;6.79;3.84;3.8357606209197783;Resolução nº 4.144/2013
EFC;2016;6.65;2.97;2.96514239943004;Resolução nº 4.144/2013
EFC;2017;6.52;2.67;2.67;Resolução nº 4.144/2013
EFC;2018;5.1;1.81;1.81;Deliberação nº 004/2019
EFVM;2006;22.1;5.78;5.78;Resolução nº 380/2003
EFVM;2007;21.3;4.07;4.07;Resolução nº 380/2003
EFVM;2008;12.2;2.84;2.84;Resolução nº 2.978/2008
EFVM;2009;12.2;3.82;3.82;Resolução nº 3.327/2009
EFVM;2010;12.2;3.56;3.56;Resolução nº 3.327/2009
EFVM;2011;12.2;2.82;2.82;Resolução nº 3.327/2009
EFVM;2012;12.2;2.72;2.724678659131138;Resolução nº 3.838/2012
EFVM;2013;5.14;2.67;2.669499697938694;Resolução nº 4.134/2013
EFVM;2014;5.03;2.73;2.727881954242508;Resolução nº 4.134/2013
EFVM;2015;4.93;2.23;2.234100188222941;Resolução nº 4.134/2013
EFVM;2016;4.84;2.66;2.663212130818271;Resolução nº 4.134/2013
EFVM;2017;4.74;2.16;2.16;Resolução nº 4.134/2013
EFVM;2018;4.57;2.38;2.38;Deliberação nº 624/2018
FCA;2006;49.0;20.54;20.54;Resolução nº 292/2003
FCA;2007;40.0;17.89;17.89;Resolução nº 292/2003
FCA;2008;28.0;18.06;18.06;Resolução nº 2.974/2008
FCA;2009;27.44;22.76;22.76;Resolução nº 3.325/2009
FCA;2010;26.89;23.86;23.86;Resolução nº 3.325/2009
FCA;2011;26.35;24.13;24.13;Resolução nº 3.325/2009
FCA;2012;25.82;25.18;25.183246006152874;Resolução nº 3.840/2012
FCA;2013;25.82;24.69;24.69489457749505;Resolução nº 4.143/2013
FCA;2014;25.82;26.14;26.135429365236867;Resolução nº 4.143/2013
FCA;2015;25.82;21.27;21.273717593711304;Resolução nº 4.143/2013
FCA;2016;25.3;23.05;23.047771445128195;Resolução nº 4.143/2013
FCA;2017;24.79;23.29;23.29;Resolução nº 4.143/2013
FCA;2018;24.6;24.67;24.67;Deliberação nº 362/2018
FERROESTE;2006;0.0;0.0;0.0;
FERROESTE;2007;0.0;0.0;0.0;
FERROESTE;2008;0.0;0.0;0.0;
FERROESTE;2009;12.2;4.02;4.02;Resolução nº 3.195/2009
FERROESTE;2010;12.2;4.47;4.47;Resolução nº 3.195/2009
FERROESTE;2011;12.2;4.95;4.95;Resolução nº 3.195/2009
FERROESTE;2012;12.2;12.38;12.376748215685465;Resolução nº 3.195/2009
FERROESTE;2013;29.6;12.31;12.3108741951766;Resolução nº 4.371/2014
FERROESTE;2014;28.38;3.02;3.0236327132870517;Resolução nº 4.371/2014
FERROESTE;2015;27.15;11.5;11.495772429688982;Resolução nº 4.371/2014
FERROESTE;2016;25.92;3.01;3.009691205682297;Resolução nº 4.371/2014
FERROESTE;2017;24.7;7.09;7.09;Resolução nº 4.371/2014
FERROESTE;2018;23.33;12.4;12.4;Deliberação nº 676/2018
FNS;2008;12.2;14.07;14.07;Contrato de Subconcessão
FNS;2009;14.0;2.71;2.71;Resolução nº 3.326/2009
FNS;2010;14.0;8.13;8.13;Resolução nº 3.326/2009
FNS;2011;17.0;15.38;15.38;Resolução nº 3.667/2011
FNS;2012;16.5;7.94;7.93617201388301;Resolução nº 3.842/2012
FNS;2013;16.76;9.85;9.849467307976427;Resolução nº 4.143/2013
FNS;2014;16.43;18.58;18.58356098195536;Resolução nº 4.133/2013
FNS;2015;16.1;3.68;3.682508819608623;Resolução nº 4.133/2013
FNS;2016;15.78;8.05;8.054292374034894;Resolução nº 4.133/2013
FNS;2017;15.46;6.7;6.7;Resolução nº 4.133/2013
FNS;2018;11.0;7.4;7.4;Deliberação nº 99/2019
FTC;2006;28.0;10.16;10.16;Resolução nº 303/2003
FTC;2007;26.0;15.27;15.27;Resolução nº 303/2003
FTC;2008;20.0;10.0;10.0;Resolução nº 2.953/2008
FTC;2009;20.0;11.51;11.51;Resolução nº 2.953/2008
FTC;2010;20.0;9.66;9.66;Resolução nº 2.953/2008
FTC;2011;20.0;13.78;13.78;Resolução nº 2.953/2008
FTC;2012;20.0;3.89;3.8926106571894574;Resolução nº 3.841/2012
FTC;2013;20.0;10.67;10.673193917702559;Resolução nº 4.137/2013
FTC;2014;20.0;8.66;8.664109791599278;Resolução nº 4.137/2013
FTC;2015;20.0;5.74;5.741582839557209;Resolução nº 4.137/2013
FTC;2016;20.0;18.72;18.72045677914541;Resolução nº 4.137/2013
FTC;2017;20.0;30.12;30.12;Resolução nº 4.137/2013
FTC;2018;31.8;29.58;29.58;Deliberação nº 951/2018
FTL;2006;220.0;149.72;149.72;TAC 28/07/2005
FTL;2007;175.0;114.46;114.46;TAC 28/07/2005
FTL;2008;140.0;174.12;174.12;Resolução nº 2.976/2008
FTL;2009;120.0;167.82;167.82;Resolução nº 2.976/2008
FTL;2010;120.0;196.65;196.65;Resolução nº 3.550/2010
FTL;2011;160.0;196.43;196.43;Resolução nº 3.712/2011
FTL;2012;145.46;114.27;114.26984771139922;Resolução nº 3.843/2012
FTL;2013;137.0;81.56;81.56353857093788;Resolução nº 4.132/2013
FTL;2014;125.0;47.77;47.771518381883126;Resolução nº 4.132/2013
FTL;2015;115.0;70.41;70.40713854272046;Resolução nº 4.132/2013
FTL;2016;108.0;66.39;66.39441206622786;Resolução nº 4.132/2013
FTL;2017;100.0;61.21;61.21;Resolução nº 4.132/2013
FTL;2018;69.8;62.43;62.43;Deliberação nº 620/2018
MRS;2006;23.5;6.98;6.98;Resolução nº 372/2003
MRS;2007;23.0;6.33;6.33;Resolução nº 372/2003
MRS;2008;18.0;6.27;6.27;Resolução nº 2.963/2008
MRS;2009;16.5;6.59;6.59;Resolução nº 2.963/2008
MRS;2010;15.0;6.94;6.94;Resolução nº 2.963/2008
MRS;2011;13.5;8.2;8.2;Resolução nº 2.963/2008
MRS;2012;12.0;9.19;9.193239788391498;Resolução nº 2.845/2012
MRS;2013;10.2;6.93;6.9274334032426825;Resolução nº 4.161/2013
MRS;2014;10.0;7.14;7.143873595790319;Resolução nº 4.161/2013
MRS;2015;9.8;8.19;8.186282593356694;Resolução nº 4.161/2013
MRS;2016;9.6;6.35;6.35428085560191;Resolução nº 4.161/2013
MRS;2017;9.41;7.21;7.21;Resolução nº 4.161/2013
MRS;2018;9.0;7.39;7.39;Deliberação nº 625/2018
RMN;2006;0.0;0.0;0.0;
RMN;2007;0.0;0.0;0.0;
RMN;2008;0.0;0.0;0.0;
RMN;2009;18.8;21.56;21.56;Resolução nº 3.241/2009
RMN;2010;18.6;10.62;10.62;Resolução nº 3.241/2009
RMN;2011;18.4;5.81;5.81;Resolução nº 3.241/2009
RMN;2012;18.2;5.73;5.7267657577988;Resolução nº 3.836/2012
RMN;2013;6.84;4.71;4.714579365229034;Resolução nº 4.141/2013
RMN;2014;5.77;5.02;5.020606001488968;Resolução nº 4.141/2013
RMN;2015;5.69;6.23;6.2270090752891525;Resolução nº 4.141/2013
RMN;2016;5.6;3.48;3.476279893834412;Resolução nº 4.141/2013
RMN;2017;5.51;3.1;3.1;Resolução nº 4.141/2013
RMN;2018;5.4;2.77;2.77;Deliberação nº 348/2018
RMO;2006;92.0;261.35;261.35;TAC 28/04/2005
RMO;2007;68.0;67.53;67.53;TAC 28/04/2005
RMO;2008;54.0;46.66;46.66;TAC  28/04/2005
RMO;2009;43.0;27.2;27.2;Resolução nº 3.541/2010
RMO;2010;28.82;26.42;26.42;Resolução nº 3.518/2010
RMO;2011;28.37;23.69;23.69;Resolução nº 3.518/2010
RMO;2012;28.29;27.42;27.422915394660112;Resolução nº 3.837/2012
RMO;2013;28.25;23.08;23.076591720734267;Resolução nº 4.151/2013
RMO;2014;26.46;22.51;22.51024870683856;Resolução nº 4.151/2013
RMO;2015;24.62;40.17;40.17206245731718;Resolução nº 4.151/2013
RMO;2016;23.13;19.37;19.372669898315007;Resolução nº 4.151/2013
RMO;2017;21.79;23.22;23.22;Resolução nº 4.151/2013
RMO;2018;21.5;22.64;22.64;Deliberação nº 408/2018
RMP;2006;38.0;33.67;33.67;TAC 28/04/2005
RMP;2007;31.0;26.05;26.05;TAC 28/04/2005
RMP;2008;27.0;26.9;26.9;TAC  28/04/2005
RMP;2009;25.0;27.51;27.51;Resolução nº 3.513/2010
RMP;2010;24.55;23.58;23.58;Resolução nº 3.565/2010
RMP;2011;23.88;20.51;20.51;Resolução nº 3.565/2010
RMP;2012;34.13;24.21;24.213252209067324;Resolução nº 3.844/2012
RMP;2013;25.63;21.09;21.0874901702408;Resolução nº 4.129/2013
RMP;2014;24.76;15.77;15.765809810062922;Resolução nº 4.129/2013
RMP;2015;23.77;23.43;23.431628118955402;Resolução nº 4.129/2013
RMP;2016;23.02;16.05;16.053731840470054;Resolução nº 4.129/2013
RMP;2017;22.42;12.13;12.13;Resolução nº 4.129/2013
RMP;2018;16.2;15.11;15.11;Deliberação nº 536/2018
RMS;2006;30.5;13.82;13.82;Resolução nº 302/2003
RMS;2007;29.0;10.35;10.35;Resolução nº 302/2003
RMS;2008;18.0;15.6;15.6;Resolução nº 2.958/2008
RMS;2009;17.8;16.96;16.96;Resolução nº 2.958/2008
RMS;2010;17.6;17.4;17.4;Resolução nº 3.565/2010
RMS;2011;17.3;15.7;15.7;Resolução nº 3.709/2011
RMS;2012;17.0;16.11;16.107454855777107;Resolução nº 3.839/2012
RMS;2013;16.6;17.44;17.435122484250133;Resolução nº 4.280/2014
RMS;2014;16.4;17.38;17.378546578401565;Resolução nº 4.280/2014
RMS;2015;16.3;29.25;29.247117044414754;Resolução nº 4.280/2014
RMS;2016;16.2;23.13;23.132072243400057;Resolução nº 4.280/2014
RMS;2017;16.1;22.62;22.62;Resolução nº 4.280/2014
RMS;2018;23.27;19.02;19.02;Deliberação nº 1.046/2018
