Ferrovia;Ano;Acidentes Anuário;Acidentes Siade;Plano Tabular (Anuário);RAFF;Análise: 0 quando a discrepância entre os dados e 1 quando são iguais;Acidentes;Unnamed: 8;Unnamed: 9
EFC;2006.0;18;61.0;;19.0;0.0;61.0;-43.0;1.0
EFC;2007.0;7;40.0;;7.0;0.0;40.0;-33.0;0.0
EFC;2008.0;3;48.0;;5.0;0.0;48.0;-45.0;2.0
EFC;2009.0;13;34.0;;13.0;0.0;34.0;-21.0;0.0
EFC;2010.0;22;34.0;;22.0;0.0;34.0;-12.0;0.0
EFC;2011.0;34;33.0;;34.0;0.0;34.0;1.0;0.0
EFC;2012.0;31;31.0;;31.0;1.0;31.0;0.0;0.0
EFC;2013.0;28;28.0;;28.0;1.0;28.0;0.0;0.0
EFC;2014.0;34;33.0;;34.0;0.0;34.0;1.0;0.0
EFC;2015.0;35;34.0;;35.0;0.0;35.0;1.0;0.0
EFC;2016.0;29;29.0;;29.0;1.0;29.0;0.0;0.0
EFC;2017.0;28;28.0;;28.0;1.0;28.0;0.0;0.0
EFC;2018.0;22;22.0;;22.0;1.0;22.0;0.0;0.0
;;;;;;;;;
EFPO;2006.0;-;0.0;;;0.0;0.0;;
EFPO;2007.0;0;2.0;;;0.0;2.0;-2.0;0.0
EFPO;2008.0;1;8.0;;;0.0;8.0;-7.0;-1.0
EFPO;2009.0;1;1.0;;;1.0;1.0;0.0;-1.0
EFPO;2010.0;1;1.0;;;1.0;1.0;0.0;-1.0
EFPO;2011.0;1;1.0;;;1.0;1.0;0.0;-1.0
EFPO;2012.0;3;3.0;;;1.0;3.0;0.0;-3.0
EFPO;2013.0;3;3.0;;;1.0;3.0;0.0;-3.0
EFPO;2014.0;1;1.0;;;1.0;1.0;0.0;-1.0
EFPO;2015.0;4;4.0;;;1.0;4.0;0.0;-4.0
EFPO;2016.0;2;1.0;;;0.0;2.0;1.0;-2.0
EFPO;2017.0;2;2.0;;;1.0;2.0;0.0;-2.0
EFPO;2018.0;4;4.0;;;1.0;4.0;0.0;-4.0
;;;;;;;;0.0;0.0
EFVM;2006.0;17;69.0;;;0.0;69.0;-52.0;-17.0
EFVM;2007.0;23;54.0;;;0.0;54.0;-31.0;-23.0
EFVM;2008.0;10;38.0;;;0.0;38.0;-28.0;-10.0
EFVM;2009.0;2;35.0;;;0.0;35.0;-33.0;-2.0
EFVM;2010.0;26;45.0;;;0.0;45.0;-19.0;-26.0
EFVM;2011.0;37;37.0;;;1.0;37.0;0.0;-37.0
EFVM;2012.0;36;37.0;;;0.0;36.0;-1.0;-36.0
EFVM;2013.0;36;36.0;;;1.0;36.0;0.0;-36.0
EFVM;2014.0;36;36.0;;;1.0;36.0;0.0;-36.0
EFVM;2015.0;30;28.0;;;0.0;30.0;2.0;-30.0
EFVM;2016.0;35;31.0;;;0.0;35.0;4.0;-35.0
EFVM;2017.0;30;21.0;;;0.0;30.0;9.0;-30.0
EFVM;2018.0;30;28.0;;;0.0;30.0;2.0;-30.0
;;;;;;;;0.0;0.0
FCA;2006.0;57;224.0;;;0.0;224.0;-167.0;-57.0
FCA;2007.0;55;191.0;;;0.0;191.0;-136.0;-55.0
FCA;2008.0;21;188.0;;;0.0;188.0;-167.0;-21.0
FCA;2009.0;26;215.0;;;0.0;215.0;-189.0;-26.0
FCA;2010.0;114;237.0;;;0.0;237.0;-123.0;-114.0
FCA;2011.0;199;206.0;;;0.0;199.0;-7.0;-199.0
FCA;2012.0;217;216.0;;;0.0;217.0;1.0;-217.0
FCA;2013.0;212;215.0;;;0.0;212.0;-3.0;-212.0
FCA;2014.0;233;236.0;;;0.0;233.0;-3.0;-233.0
FCA;2015.0;177;184.0;;;0.0;177.0;-7.0;-177.0
FCA;2016.0;167;168.0;;;0.0;167.0;-1.0;-167.0
FCA;2017.0;184;187.0;;;0.0;184.0;-3.0;-184.0
FCA;2018.0;191;192.0;;;0.0;191.0;-1.0;-191.0
;;;;;;;;0.0;0.0
RMS;2006.0;37;195.0;;;0.0;195.0;-158.0;-37.0
RMS;2007.0;54;145.0;;;0.0;145.0;-91.0;-54.0
RMS;2008.0;40;161.0;;;0.0;161.0;-121.0;-40.0
RMS;2009.0;93;186.0;;;0.0;186.0;-93.0;-93.0
RMS;2010.0;103;239.0;;;0.0;239.0;-136.0;-103.0
RMS;2011.0;195;194.0;;;0.0;195.0;1.0;-195.0
RMS;2012.0;183;183.0;;;1.0;183.0;0.0;-183.0
RMS;2013.0;207;208.0;;;0.0;207.0;-1.0;-207.0
RMS;2014.0;194;194.0;;;1.0;194.0;0.0;-194.0
RMS;2015.0;288;287.0;;;0.0;288.0;1.0;-288.0
RMS;2016.0;181;177.0;;;0.0;181.0;4.0;-181.0
RMS;2017.0;201;201.0;;;1.0;201.0;0.0;-201.0
RMS;2018.0;217;217.0;;;1.0;217.0;0.0;-217.0
;;;;;;;;0.0;0.0
RMP;2006.0;44;145.0;;;0.0;145.0;-101.0;-44.0
RMP;2007.0;20;139.0;;;0.0;139.0;-119.0;-20.0
RMP;2008.0;10;149.0;;;0.0;149.0;-139.0;-10.0
RMP;2009.0;41;129.0;;;0.0;129.0;-88.0;-41.0
RMP;2010.0;59;138.0;;;0.0;138.0;-79.0;-59.0
RMP;2011.0;136;122.0;;;0.0;136.0;14.0;-136.0
RMP;2012.0;144;139.0;;;0.0;144.0;5.0;-144.0
RMP;2013.0;123;127.0;;;0.0;123.0;-4.0;-123.0
RMP;2014.0;108;104.0;;;0.0;108.0;4.0;-108.0
RMP;2015.0;130;131.0;;;0.0;130.0;-1.0;-130.0
RMP;2016.0;79;80.0;;;0.0;79.0;-1.0;-79.0
RMP;2017.0;75;74.0;;;0.0;75.0;1.0;-75.0
RMP;2018.0;101;100.0;;;0.0;101.0;1.0;-101.0
;;;;;;;;0.0;0.0
RMO;2006.0;16;452.0;;;0.0;452.0;-436.0;-16.0
RMO;2007.0;4;133.0;;;0.0;133.0;-129.0;-4.0
RMO;2008.0;2;83.0;;;0.0;83.0;-81.0;-2.0
RMO;2009.0;26;51.0;;;0.0;51.0;-25.0;-26.0
RMO;2010.0;17;71.0;;;0.0;71.0;-54.0;-17.0
RMO;2011.0;68;67.0;;;0.0;68.0;1.0;-68.0
RMO;2012.0;75;68.0;;;0.0;75.0;7.0;-75.0
RMO;2013.0;49;45.0;;;0.0;49.0;4.0;-49.0
RMO;2014.0;45;43.0;;;0.0;45.0;2.0;-45.0
RMO;2015.0;51;51.0;;;1.0;51.0;0.0;-51.0
RMO;2016.0;18;18.0;;;1.0;18.0;0.0;-18.0
RMO;2017.0;27;27.0;;;1.0;27.0;0.0;-27.0
RMO;2018.0;35;35.0;;;1.0;35.0;0.0;-35.0
;;;;;;;;0.0;0.0
RMN;2006.0;1;171.0;;;0.0;171.0;-170.0;-1.0
RMN;2007.0;1;67.0;;;0.0;67.0;-66.0;-1.0
RMN;2008.0;0;28.0;;;0.0;28.0;-28.0;0.0
RMN;2009.0;3;50.0;;;0.0;50.0;-47.0;-3.0
RMN;2010.0;7;29.0;;;0.0;29.0;-22.0;-7.0
RMN;2011.0;15;16.0;;;0.0;15.0;-1.0;-15.0
RMN;2012.0;16;19.0;;;0.0;16.0;-3.0;-16.0
RMN;2013.0;20;18.0;;;0.0;20.0;2.0;-20.0
RMN;2014.0;19;21.0;;;0.0;19.0;-2.0;-19.0
RMN;2015.0;25;27.0;;;0.0;25.0;-2.0;-25.0
RMN;2016.0;13;12.0;;;0.0;13.0;1.0;-13.0
RMN;2017.0;14;15.0;;;0.0;14.0;-1.0;-14.0
RMN;2018.0;16;16.0;;;1.0;16.0;0.0;-16.0
;;;;;;;;0.0;0.0
MRS;2006.0;53;101.0;;;0.0;101.0;-48.0;-53.0
MRS;2007.0;58;100.0;;;0.0;100.0;-42.0;-58.0
MRS;2008.0;44;103.0;;;0.0;103.0;-59.0;-44.0
MRS;2009.0;76;96.0;;;0.0;96.0;-20.0;-76.0
MRS;2010.0;85;109.0;;;0.0;109.0;-24.0;-85.0
MRS;2011.0;132;131.0;;;0.0;132.0;1.0;-132.0
MRS;2012.0;143;148.0;;;0.0;143.0;-5.0;-143.0
MRS;2013.0;115;112.0;;;0.0;115.0;3.0;-115.0
MRS;2014.0;112;112.0;;;1.0;112.0;0.0;-112.0
MRS;2015.0;122;125.0;;;0.0;122.0;-3.0;-122.0
MRS;2016.0;95;95.0;;;1.0;95.0;0.0;-95.0
MRS;2017.0;107;107.0;;;1.0;107.0;0.0;-107.0
MRS;2018.0;107;107.0;;;1.0;107.0;0.0;-107.0
;;;79.0;;;;;-79.0;0.0
FTL;2006.0;31;217.0;;;0.0;217.0;-186.0;-31.0
FTL;2007.0;30;193.0;;;0.0;193.0;-163.0;-30.0
FTL;2008.0;12;257.0;;;0.0;257.0;-245.0;-12.0
FTL;2009.0;25;182.0;;;0.0;182.0;-157.0;-25.0
FTL;2010.0;68;227.0;;;0.0;227.0;-159.0;-68.0
FTL;2011.0;203;209.0;;;0.0;203.0;-6.0;-203.0
FTL;2012.0;107;107.0;;;1.0;107.0;0.0;-107.0
FTL;2013.0;71;71.0;;;1.0;71.0;0.0;-71.0
FTL;2014.0;40;40.0;;;1.0;40.0;0.0;-40.0
FTL;2015.0;57;57.0;;;1.0;57.0;0.0;-57.0
FTL;2016.0;59;59.0;;;1.0;59.0;0.0;-59.0
FTL;2017.0;55;52.0;;;0.0;55.0;3.0;-55.0
FTL;2018.0;54;53.0;;;0.0;54.0;1.0;-54.0
;;;;;;;;0.0;0.0
FTC;2006.0;0;3.0;;;0.0;3.0;-3.0;0.0
FTC;2007.0;0;4.0;;;0.0;4.0;-4.0;0.0
FTC;2008.0;0;3.0;;;0.0;3.0;-3.0;0.0
FTC;2009.0;2;3.0;;;0.0;3.0;-1.0;-2.0
FTC;2010.0;1;2.0;;;0.0;2.0;-1.0;-1.0
FTC;2011.0;3;3.0;;;1.0;3.0;0.0;-3.0
FTC;2012.0;1;1.0;;;1.0;1.0;0.0;-1.0
FTC;2013.0;3;3.0;;;1.0;3.0;0.0;-3.0
FTC;2014.0;3;3.0;;;1.0;3.0;0.0;-3.0
FTC;2015.0;2;2.0;;;1.0;2.0;0.0;-2.0
FTC;2016.0;6;6.0;;;1.0;6.0;0.0;-6.0
FTC;2017.0;9;9.0;;;1.0;9.0;0.0;-9.0
FTC;2018.0;9;9.0;;;1.0;9.0;0.0;-9.0
;;;;;;;;0.0;0.0
FNSTN;2008.0;0;4.0;;;0.0;1.0;-4.0;0.0
FNSTN;2009.0;1;1.0;;;1.0;4.0;0.0;-1.0
FNSTN;2010.0;0;4.0;;;0.0;5.0;-4.0;0.0
FNSTN;2011.0;5;5.0;;;1.0;5.0;0.0;-5.0
FNSTN;2012.0;3;3.0;;;1.0;3.0;0.0;-3.0
FNSTN;2013.0;3;3.0;;;1.0;8.0;0.0;-3.0
FNSTN;2014.0;8;8.0;;;1.0;2.0;0.0;-8.0
FNSTN;2015.0;2;2.0;;;1.0;4.0;0.0;-2.0
FNSTN;2016.0;4;5.0;;;0.0;3.0;-1.0;-4.0
FNSTN;2017.0;3;6.0;;;0.0;9.0;-3.0;-3.0
FNSTN;2018.0;9;8.0;;;0.0;0.0;1.0;-9.0
